,lg_id,wins,losses,rank_team,srs,pace,pace_rel,off_rtg,off_rtg_rel,def_rtg,def_rtg_rel,team_id,foo,avg_age,avg_ht,avg_wt,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,year,team,games,win_pct,win_logratio,net_rtg,rtg_logratio
0,NBA,59.0,23.0,1.0,7.61,105.4,-2.4,101.2,3.5,93.6,-4.1,MIL,,27.3,6-7,205.0,82.0,19755.0,3726.0,7571.0,0.492,,,,3726.0,7571.0,0.492,1328.0,1741.0,0.763,1133.0,2881.0,4014.0,2225.0,726.0,519.0,1694.0,1864.0,8780.0,1973-74,MIL,82.0,0.7195121951219512,0.9420432279765697,7.6000000000000085,0.07806837336981895
0,NBA,27.0,55.0,5.0,-4.3,108.5,0.7,98.2,0.5,102.6,4.9,POR,,24.7,6-6,203.0,82.0,19730.0,3585.0,7684.0,0.467,,,,3585.0,7684.0,0.467,1591.0,2112.0,0.753,1254.0,2598.0,3852.0,2106.0,797.0,341.0,1823.0,2050.0,8761.0,1973-74,POR,82.0,0.32926829268292684,-0.7114963192281418,-4.3999999999999915,-0.04383171737624884
0,NBA,32.0,50.0,3.0,-0.34,106.1,-1.7,100.3,2.6,100.5,2.8,HOU,,25.4,6-5,204.0,82.0,19855.0,3564.0,7426.0,0.48,,,,3564.0,7426.0,0.48,1682.0,2071.0,0.812,1063.0,2588.0,3651.0,2212.0,727.0,407.0,1681.0,2104.0,8810.0,1973-74,HOU,82.0,0.3902439024390244,-0.4462871026284195,-0.20000000000000284,-0.0019920325312406525
0,NBA,52.0,30.0,3.0,4.02,106.5,-1.3,97.6,-0.1,93.8,-3.9,DET,,26.2,6-6,209.0,82.0,19755.0,3453.0,7515.0,0.459,,,,3453.0,7515.0,0.459,1654.0,2164.0,0.764,1200.0,2681.0,3881.0,1956.0,793.0,419.0,1763.0,1930.0,8560.0,1973-74,DET,82.0,0.6341463414634146,0.550046336919272,3.799999999999997,0.03971263740686783
0,NBA,47.0,35.0,1.0,0.85,111.7,3.9,97.4,-0.3,96.6,-1.1,LAL,,28.7,6-6,210.0,82.0,19755.0,3536.0,7803.0,0.453,,,,3536.0,7803.0,0.453,1879.0,2443.0,0.769,1365.0,2970.0,4335.0,2179.0,794.0,653.0,1913.0,2032.0,8951.0,1973-74,LAL,82.0,0.573170731707317,0.2947995402206448,0.8000000000000114,0.008247469430017265
0,ABA,45.0,39.0,3.0,0.74,95.0,-7.6,101.7,-1.3,100.8,-2.2,SAA,,24.6,6-4,201.0,84.0,20360.0,3343.0,7347.0,0.455,51.0,241.0,0.212,3292.0,7106.0,0.463,1462.0,1878.0,0.778,1236.0,2645.0,3881.0,1808.0,600.0,225.0,1326.0,2197.0,8199.0,1973-74,SAS,84.0,0.5357142857142857,0.14310084364067324,0.9000000000000057,0.008888947417245994
0,ABA,46.0,38.0,2.0,0.68,103.0,0.4,101.7,-1.3,100.9,-2.1,INA,,26.8,6-5,205.0,84.0,20360.0,3546.0,7886.0,0.45,171.0,543.0,0.315,3375.0,7343.0,0.46,1625.0,2242.0,0.725,1474.0,2896.0,4370.0,1825.0,735.0,459.0,1554.0,1926.0,8888.0,1973-74,IND,84.0,0.5476190476190477,0.19105523676270922,0.7999999999999972,0.00789737569495094
0,NBA,42.0,40.0,3.0,-0.19,111.6,3.8,99.3,1.6,99.4,1.7,BUF,,24.4,6-5,202.0,82.0,19830.0,3728.0,7763.0,0.48,,,,3728.0,7763.0,0.48,1699.0,2221.0,0.765,1150.0,2830.0,3980.0,2165.0,786.0,600.0,1828.0,1875.0,9155.0,1973-74,LAC,82.0,0.5121951219512195,0.04879016416943205,-0.10000000000000853,-0.0010065426114015058
0,NBA,33.0,49.0,4.0,-3.24,106.1,-1.7,96.0,-1.7,99.5,1.8,KCO,,26.7,6-6,202.0,82.0,19705.0,3369.0,7342.0,0.459,,,,3369.0,7342.0,0.459,1628.0,2104.0,0.774,1112.0,2554.0,3666.0,1744.0,796.0,384.0,1791.0,1916.0,8366.0,1973-74,SAC,82.0,0.4024390243902439,-0.3953127366441464,-3.5,-0.03580945269671089
1,NBA,44.0,38.0,2.0,-0.16,104.4,-0.1,96.8,-0.9,97.1,-0.6,KCO,,25.5,6-6,198.0,82.0,19730.0,3257.0,7258.0,0.449,,,,3257.0,7258.0,0.449,1797.0,2190.0,0.821,991.0,2745.0,3736.0,1853.0,724.0,347.0,1542.0,1968.0,8311.0,1974-75,SAC,82.0,0.5365853658536586,0.14660347419187544,-0.29999999999999716,-0.003094381014747912
