Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
24,2,Sep 2 2016,7:00 PM,Fri,(12) Michigan State,28,,Furman,13,BTN,Spartan Stadium - East Lansing Michigan
25,2,Sep 2 2016,9:30 PM,Fri,Nevada,30,,Cal Poly,27,,MacKay Stadium - Reno Nevada
26,2,Sep 2 2016,9:00 PM,Fri,(8) Stanford,26,,Kansas State,13,FS1,Stanford Stadium - Stanford California
27,2,Sep 2 2016,7:00 PM,Fri,Syracuse,33,,Colgate,7,,Carrier Dome - Syracuse New York
28,2,Sep 2 2016,9:00 PM,Fri,Toledo,31,@,Arkansas State,10,ESPNU,Centennial Bank Stadium - Jonesboro Arkansas
29,2,Sep 3 2016,2:00 PM,Sat,Air Force,37,,Abilene Christian,21,CAMP,Falcon Stadium - Colorado Springs Colorado
30,2,Sep 3 2016,6:30 PM,Sat,Akron,47,,Virginia Military Institute,24,ESPN3,InfoCision Stadium - Akron Ohio
31,2,Sep 3 2016,8:00 PM,Sat,(1) Alabama,52,,(20) Southern California,6,ABC,AT&T Stadium - Arlington Texas
32,2,Sep 3 2016,11:00 PM,Sat,Arizona State,44,,Northern Arizona,13,PAC12,Sun Devil Stadium - Tempe Arizona
33,2,Sep 3 2016,4:00 PM,Sat,Arkansas,21,,Louisiana Tech,20,SECN,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
34,2,Sep 3 2016,12:00 PM,Sat,Boise State,45,@,Louisiana-Lafayette,10,ESPN3,Cajun Field - Lafayette Louisiana
35,2,Sep 3 2016,10:30 PM,Sat,Brigham Young,18,,Arizona,16,FS1,University of Phoenix Stadium - Glendale Arizona
36,2,Sep 3 2016,7:00 PM,Sat,Central Florida,38,,South Carolina State,0,ESPN3,Bright House Networks Stadium - Orlando Florida
37,2,Sep 3 2016,9:00 PM,Sat,(2) Clemson,19,@,Auburn,13,ESPN,Jordan Hare Stadium - Auburn Alabama
38,2,Sep 3 2016,6:00 PM,Sat,Duke,49,,North Carolina Central,6,,Wallace Wade Stadium - Durham North Carolina
39,2,Sep 3 2016,6:00 PM,Sat,East Carolina,52,,Western Carolina,7,ESPN3,Dowdy-Ficklen Stadium - Greenville North Carolina
40,2,Sep 3 2016,8:00 PM,Sat,Eastern Washington,45,@,Washington State,42,PAC12,Martin Stadium - Pullman Washington
41,2,Sep 3 2016,7:30 PM,Sat,(25) Florida,24,,Massachusetts,7,SECN,Ben Hill Griffin Stadium - Gainesville Florida
42,2,Sep 3 2016,6:00 PM,Sat,Florida Atlantic,38,,Southern Illinois,30,,FAU Football Stadium - Boca Raton Florida
43,2,Sep 3 2016,5:30 PM,Sat,(18) Georgia,33,,(22) North Carolina,24,ESPN,Georgia Dome - Atlanta Georgia
44,2,Sep 3 2016,6:00 PM,Sat,Georgia Southern,54,,Savannah State,0,ESPN3,Allen E. Paulson Stadium - Statesboro Georgia
45,2,Sep 3 2016,7:30 AM,Sat,Georgia Tech,17,,Boston College,14,ESPN2,Aviva Stadium - Dublin IRL
46,2,Sep 3 2016,12:00 PM,Sat,(15) Houston,33,,(3) Oklahoma,23,ABC,NRG Stadium - Houston Texas
47,2,Sep 3 2016,3:30 PM,Sat,Illinois,52,,Murray State,3,BTN,Memorial Stadium - Champaign Illinois
48,2,Sep 3 2016,3:30 PM,Sat,(17) Iowa,45,,Miami (OH),21,ESPNU,Kinnick Stadium - Iowa City Iowa
49,2,Sep 3 2016,7:00 PM,Sat,Kansas,55,,Rhode Island,6,ESPN3,Memorial Stadium - Lawrence Kansas
50,2,Sep 3 2016,7:00 PM,Sat,Louisiana-Monroe,38,,Southern,21,ESPN3,Malone Stadium - Monroe Louisiana
51,2,Sep 3 2016,12:00 PM,Sat,Maryland,52,,Howard,13,BTN,Maryland Stadium - College Park Maryland
52,2,Sep 3 2016,7:00 PM,Sat,Memphis,35,,Southeast Missouri State,17,ESPN3,Liberty Bowl Memorial Stadium - Memphis Tennessee
53,2,Sep 3 2016,6:00 PM,Sat,Miami (FL),70,,Florida A&M,3,,Hard Rock Stadium - Miami Gardens Florida
54,2,Sep 3 2016,12:00 PM,Sat,(7) Michigan,63,,Hawaii,3,ESPN,Michigan Stadium - Ann Arbor Michigan
55,2,Sep 3 2016,7:00 PM,Sat,Middle Tennessee State,55,,Alabama A&M,0,,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
56,2,Sep 3 2016,12:00 PM,Sat,Navy,52,,Fordham,16,CBSSN,Navy Marine Corps Memorial Stadium - Annapolis Maryland
57,2,Sep 3 2016,8:00 PM,Sat,Nebraska,43,,Fresno State,10,BTN,Memorial Stadium - Lincoln Nebraska
58,2,Sep 3 2016,8:00 PM,Sat,Northern Iowa,25,@,Iowa State,20,,Jack Trice Stadium - Ames Iowa
59,2,Sep 3 2016,12:00 PM,Sat,(6) Ohio State,77,,Bowling Green State,10,BTN,Ohio Stadium - Columbus Ohio
60,2,Sep 3 2016,3:30 PM,Sat,(21) Oklahoma State,61,,Southeastern Louisiana,7,,Boone Pickens Stadium - Stillwater Oklahoma
61,2,Sep 3 2016,5:00 PM,Sat,(24) Oregon,53,,California-Davis,28,PAC12,Autzen Stadium - Eugene Oregon
62,2,Sep 3 2016,3:30 PM,Sat,Penn State,33,,Kent State,13,BTN,Beaver Stadium - University Park Pennsylvania
63,2,Sep 3 2016,1:30 PM,Sat,Pittsburgh,28,,Villanova,7,,Heinz Field - Pittsburgh Pennsylvania
64,2,Sep 3 2016,12:00 PM,Sat,Purdue,45,,Eastern Kentucky,24,ESPNN,Ross Ade Stadium - West Lafayette Indiana
65,2,Sep 3 2016,3:30 PM,Sat,Richmond,37,@,Virginia,20,,Scott Stadium - Charlottesville Virginia
66,2,Sep 3 2016,8:30 PM,Sat,San Diego State,31,,New Hampshire,0,,Qualcomm Stadium - San Diego California
67,2,Sep 3 2016,12:00 PM,Sat,South Alabama,21,@,Mississippi State,20,SECN,Davis Wade Stadium - Starkville Mississippi
68,2,Sep 3 2016,7:00 PM,Sat,South Florida,56,,Towson,20,ESPN3,Raymond James Stadium - Tampa Florida
69,2,Sep 3 2016,7:00 PM,Sat,Southern Methodist,34,@,North Texas,21,,Apogee Stadium - Denton Texas
70,2,Sep 3 2016,7:30 PM,Sat,Southern Mississippi,44,@,Kentucky,35,ESPNU,Commonwealth Stadium - Lexington Kentucky
