Player_id,SV_Player_id,Name
255,2626,Grant Hill
3,n/a,Grant Long
21,n/a,Greg Anthony
1761,n/a,Greg Buckner
323,n/a,Greg Foster
201141,4243,Greg Oden
731,n/a,Greg Ostertag
200799,n/a,Guillermo Diaz
2462,n/a,Guy Rucker
165,n/a,Hakeem Olajuwon
101124,3945,Hakim Warrick
201632,4531,Hamed Haddadi
2069,n/a,Hanno Mottola
1942,n/a,Harold Jamison
201934,4562,Hasheem Thabeet
200801,n/a,Hassan Adams
2045,3415,Hedo Turkoglu
201611,4509,Henry Walker
765,n/a,Hersey Hawkins
200756,4140,Hilton Armstrong
2673,n/a,Hiram Fuller
270,n/a,Horace Grant
2798,n/a,Horace Jenkins
458,n/a,Howard Eisley
93,n/a,Hubert Davis
101133,3954,Ian Mahinmi
2825,n/a,Ibrahim Kutluay
2080,n/a,Igor Rakocevic
1134,n/a,Ike Austin
101113,3935,Ike Diogu
1829,n/a,Ike Fontaine
2137,3501,Ime Udoka
1085,n/a,Ira Bowman
1956,n/a,Ira Newble
375,n/a,Isaiah Rider
200829,n/a,Ivan McFarlin
200826,4203,J.J. Barea
2452,n/a,J.R. Bremer
201592,n/a,J.R. Giddens
462,n/a,J.R. Reid
2074,n/a,Jabari Smith
2866,n/a,Jackie Butler
2761,n/a,Jackson Vroman
1521,n/a,Jacque Vaughn
1751,n/a,Jahidi White
2054,n/a,Jake Tsakalidis
2063,n/a,Jake Voskuhl
147,n/a,Jalen Rose
2048,3418,Jamaal Magloire
2224,3528,Jamaal Tinsley
2037,3407,Jamal Crawford
469,n/a,Jamal Mashburn
1554,n/a,Jamal Robinson
2441,n/a,Jamal Sampson
200081,4342,Jamario Moon
2749,3837,Jameer Nelson
1975,n/a,Jamel Thomas
200788,n/a,James Augustine
201935,4563,James Harden
201949,4621,James Johnson
2592,3752,James Jones
2591,n/a,James Lang
1899,3341,James Posey
381,n/a,James Robinson
101189,4055,James Singleton
2839,n/a,James Thomas
200778,4159,James White
201191,n/a,JamesOn Curry
994,n/a,Jamie Feick
2249,n/a,Jamison Brewer
2457,3660,Jannero Pargo
201162,4300,Jared Dudley
2407,3609,Jared Jeffries
2876,n/a,Jared Reiner
1114,n/a,Jaren Jackson
101127,3948,Jarrett Jack
2260,3562,Jarron Collins
2553,n/a,Jarvis Hayes
679,n/a,Jason Caffey
2044,n/a,Jason Collier
2215,3530,Jason Collins
2078,n/a,Jason Hart
2574,3734,Jason Kapono
467,2625,Jason Kidd
101131,3952,Jason Maxiell
2202,3515,Jason Richardson
201160,4298,Jason Smith
1891,3333,Jason Terry
201574,4474,Jason Thompson
1715,3250,Jason Williams
201580,4480,JaVale McGee
201159,n/a,Javaris Crittenton
101214,4010,Jawad Williams
2398,n/a,Jay Williams
201965,4636,Jeff Ayres
1902,3344,Jeff Foster
201145,4247,Jeff Green
976,n/a,Jeff McInnis
201952,4624,Jeff Teague
2244,n/a,Jeff Trepagnier
1741,n/a,Jelani McCoy
200978,n/a,Jeremy Richardson
1983,n/a,Jermaine Jackson
979,3120,Jermaine O'Neal
201966,4637,Jermaine Taylor
201176,n/a,Jermareo Davidson
2602,n/a,Jerome Beasley
1744,n/a,Jerome James
760,n/a,Jerome Kersey
2040,n/a,Jerome Moiso
966,n/a,Jerome Williams
711,3005,Jerry Stackhouse
201573,4473,Jerryd Bayless
2219,n/a,Jeryl Sasser
201146,4284,Jianlian Yi
754,n/a,Jim Jackson
29,n/a,Jim McIlvaine
2412,n/a,Jiri Welsch
201581,4481,JJ Hickson
200755,4139,JJ Redick
201149,4287,Joakim Noah
201975,4646,Jodie Meeks
201570,4470,Joe Alexander
201621,n/a,Joe Crawford
2343,n/a,Joe Crispin
2207,3520,Joe Johnson
693,3003,Joe Smith
201202,4339,Joel Anthony
2038,3408,Joel Przybilla
201595,4494,Joey Dorsey
101121,3942,Joey Graham
101130,3951,Johan Petro
680,n/a,John Amaechi
715,n/a,John Coker
180,n/a,John Crotty
2823,n/a,John Edwards
101249,4052,John Lucas III
2422,3624,John Salmons
317,n/a,John Starks
304,n/a,John Stockton
1519,n/a,John Thomas
961,n/a,John Wallace
271,n/a,Johnny Newman
468,n/a,Jon Barry
201972,4643,Jon Brockman
201973,4644,Jonas Jerebko
1886,n/a,Jonathan Bender
201938,4611,Jonny Flynn
200770,4154,Jordan Farmar
201941,4613,Jordan Hill
200816,n/a,Jorge Garbajosa
101181,3989,Jose Calderon
2218,n/a,Joseph Forte
200767,n/a,Josh Boone
2735,3823,Josh Childress
2668,3805,Josh Davis
2572,3732,Josh Howard
201177,4314,Josh McRoberts
2694,3774,Josh Powell
2746,3834,Josh Smith
2747,3835,JR Smith
201950,4622,Jrue Holiday
2434,n/a,Juan Carlos Navarro
2413,n/a,Juan Dixon
1038,n/a,Juaquin Hawkins
146,n/a,Jud Buechler
201153,4291,Julian Wright
101125,n/a,Julius Hodge
1908,n/a,Jumaine Jones
2454,n/a,Junior Harrington
2770,n/a,Justin Reed
200818,n/a,Justin Williams
436,2628,Juwan Howard
2079,n/a,Kaniel Dickens
2416,n/a,Kareem Rush
252,n/a,Karl Malone
2867,n/a,Kasib Powell
2208,n/a,Kedrick Brown
2586,3746,Keith Bogans
101247,n/a,Keith Langford
2693,n/a,Keith McLeod
1496,n/a,Keith Van Horn
101235,4030,Kelenna Azubuike
1509,n/a,Kelvin Cato
2256,n/a,Ken Johnson
383,n/a,Kendall Gill
2570,3730,Kendrick Perkins
72,n/a,Kenny Anderson
2261,n/a,Kenny Satterfield
1903,n/a,Kenny Thomas
2030,3400,Kenyon Martin
1721,n/a,Keon Clark
954,n/a,Kerry Kittles
101207,n/a,Kevin Burleson
201142,4244,Kevin Durant
236,n/a,Kevin Edwards
708,3007,Kevin Garnett
201567,4391,Kevin Love
2755,3843,Kevin Martin
1563,n/a,Kevin Ollie
788,n/a,Kevin Willis
200838,n/a,Kevinn Pinkney
2039,3409,Keyon Dooling
2064,n/a,Khalid El-Amin
2213,n/a,Kirk Haston
2550,3710,Kirk Hinrich
2632,n/a,Kirk Penney
2745,n/a,Kirk Snyder
977,3118,Kobe Bryant
1600,n/a,Kornel David
201585,4485,Kosta Koufos
200785,n/a,Kosta Perovic
